Date : 2021-03-21 00:17:56
Directory : /Users/chris/Desktop/SuperWrite
Total : 43 files,  1126 codes, 126 comments, 157 blanks, all 1409 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         18 |        605 |         28 |         78 |        711 |
| JSON       |          3 |        168 |          0 |          3 |        171 |
| XML        |          9 |        125 |         51 |         11 |        187 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| Python     |          1 |         59 |         16 |         17 |         92 |
| YAML       |          1 |         26 |         12 |          8 |         46 |
| HTML       |          1 |         26 |         15 |          5 |         46 |
| Markdown   |          3 |         15 |          0 |         10 |         25 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         43 |      1,126 |        126 |        157 |      1,409 |
| backend                                                                                                        |          1 |         59 |         16 |         17 |         92 |
| backend/src                                                                                                    |          1 |         59 |         16 |         17 |         92 |
| fontend                                                                                                        |         41 |      1,065 |        110 |        139 |      1,314 |
| fontend/fltwrite                                                                                               |         41 |      1,065 |        110 |        139 |      1,314 |
| fontend/fltwrite/android                                                                                       |         12 |        153 |         53 |         31 |        237 |
| fontend/fltwrite/android/app                                                                                   |          8 |        110 |         52 |         20 |        182 |
| fontend/fltwrite/android/app/src                                                                               |          7 |         64 |         49 |          9 |        122 |
| fontend/fltwrite/android/app/src/debug                                                                         |          1 |          4 |          3 |          1 |          8 |
| fontend/fltwrite/android/app/src/main                                                                          |          5 |         56 |         43 |          7 |        106 |
| fontend/fltwrite/android/app/src/main/res                                                                      |          4 |         26 |         32 |          6 |         64 |
| fontend/fltwrite/android/app/src/main/res/drawable                                                             |          1 |          4 |          7 |          2 |         13 |
| fontend/fltwrite/android/app/src/main/res/drawable-v21                                                         |          1 |          4 |          7 |          2 |         13 |
| fontend/fltwrite/android/app/src/main/res/values                                                               |          1 |          9 |          9 |          1 |         19 |
| fontend/fltwrite/android/app/src/main/res/values-night                                                         |          1 |          9 |          9 |          1 |         19 |
| fontend/fltwrite/android/app/src/profile                                                                       |          1 |          4 |          3 |          1 |          8 |
| fontend/fltwrite/android/gradle                                                                                |          1 |          5 |          1 |          1 |          7 |
| fontend/fltwrite/android/gradle/wrapper                                                                        |          1 |          5 |          1 |          1 |          7 |
| fontend/fltwrite/ios                                                                                           |          7 |        222 |          2 |          9 |        233 |
| fontend/fltwrite/ios/Runner                                                                                    |          7 |        222 |          2 |          9 |        233 |
| fontend/fltwrite/ios/Runner/Assets.xcassets                                                                    |          3 |        148 |          0 |          4 |        152 |
| fontend/fltwrite/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                 |          1 |        122 |          0 |          1 |        123 |
| fontend/fltwrite/ios/Runner/Assets.xcassets/LaunchImage.imageset                                               |          2 |         26 |          0 |          3 |         29 |
| fontend/fltwrite/ios/Runner/Base.lproj                                                                         |          2 |         61 |          2 |          2 |         65 |
| fontend/fltwrite/lib                                                                                           |         17 |        597 |         12 |         72 |        681 |
| fontend/fltwrite/lib/common                                                                                    |          1 |         71 |          0 |          8 |         79 |
| fontend/fltwrite/lib/pages                                                                                     |         10 |        429 |          6 |         42 |        477 |
| fontend/fltwrite/lib/pages/edit                                                                                |          1 |        158 |          2 |         13 |        173 |
| fontend/fltwrite/lib/pages/intro                                                                               |          1 |         26 |          0 |          4 |         30 |
| fontend/fltwrite/lib/pages/personal                                                                            |          7 |        245 |          4 |         24 |        273 |
| fontend/fltwrite/lib/pages/personal/components                                                                 |          3 |        101 |          0 |          5 |        106 |
| fontend/fltwrite/lib/pages/personal/subpages                                                                   |          3 |         97 |          3 |         15 |        115 |
| fontend/fltwrite/lib/pages/render                                                                              |          1 |          0 |          0 |          1 |          1 |
